type,title,release_year,rating,duration,listed_in,description,show_id,director,cast,country,date_added
TV Show,WandaVision,2021,TV-14,1 Season,"Drama, Fantasy, Mystery",Two super-powered beings living idealized suburban lives suspect that everything is not as it seems.,s316,,"Elizabeth Olsen, Paul Bettany, Teyonah Parris, Kathryn Hahn, Randall Park, Kat Dennings",United States,"Friday, January 15, 2021"
TV Show,Disney Fam Jam,2020,TV-G,1 Season,"Family, Game Show / Competition, Reality",Families across America compete in epic dance battles!,s317,,"Phil Wright, Ariel Martin, Trevor Tordjman",United States,"Friday, January 8, 2021"
TV Show,Marvel Studios LEGENDS,2021,TV-14,1 Season,"Action-Adventure, Docuseries, Fantasy",Marvel Studios LEGENDS celebrates the heroes and villains of the highly anticipated Disney+ shows.,s319,,,United States,"Friday, January 8, 2021"
TV Show,Cosmos: Possible Worlds,2020,TV-14,1 Season,"Action-Adventure, Docuseries, Family",COSMOS: POSSIBLE WORLDS continues Carl Sagan’s legacy that began more than 40 years ago.,s327,,Neil deGrasse Tyson,United States,"Friday, December 25, 2020"
TV Show,Disney Gallery / Star Wars: The Mandalorian,2020,TV-PG,2 Seasons,"Action-Adventure, Docuseries, Family",DISNEY GALLERY / STAR WARS: THE MANDALORIAN is a docuseries about the making of The Mandalorian.,s328,,"Jon Favreau, Dave Filoni, Pedro Pascal, Bryce Howard, Taika Waititi, Carl Weathers",United States,"Friday, December 25, 2020"
Movie,Arendelle Castle Yule Log,2020,TV-G,180 min,"Animation, Family",Set the wintry mood for your holiday celebration with Anna and Elsa’s Arendelle Castle yule log.,s331,,,United States,"Friday, December 18, 2020"
Movie,Buried Truth of the Maya,2020,TV-PG,48 min,"Documentary, Historical",A high-tech archaeological team explores the hidden secrets of Chichen Itza.,s332,,Josh Bernstein,United States,"Friday, December 18, 2020"
TV Show,On Pointe,2020,TV-PG,1 Season,"Docuseries, Family",On Pointe follows students during a season in the School of American Ballet (SAB) in New York City.,s337,,,United States,"Friday, December 18, 2020"
Movie,Disney Channel's Epic Holiday Showdown,2020,TV-G,50 min,"Fantasy, Variety",DC stars try to save the holidays from Scrooge.,s339,,,United States,"Friday, December 11, 2020"
Movie,Disney Holiday Magic Quest,2020,TV-G,46 min,Movies,ZOMBIES stars race to save the holiday magic!,s340,,,United States,"Friday, December 11, 2020"
Movie,Gender Revolution: A Journey With Katie Couric,2017,TV-14,93 min,Documentary,Katie Couric explores questions about gender identity with experts and everyday people.,s341,,Katie Couric,United States,"Friday, December 11, 2020"
Movie,High School Musical: The Musical: The Holiday Special,2020,TV-G,46 min,"Drama, Music, Romance",The cast of High School Musical: The Musical: The Series celebrates the holidays with music & more!,s342,,"Olivia Rodrigo, Joshua Bassett, Sofia Wylie, Matt Cornett, Larry Saperstein, Julia Lester",United States,"Friday, December 11, 2020"
Movie,Man vs. Shark,2019,TV-PG,45 min,"Animals & Nature, Documentary",Marine biologist attempts to get bitten by a deadly tiger shark and survive,s347,,"Jeremiah Sullivan, Dave Hoffman",United States,"Friday, December 4, 2020"
Movie,The Disney Holiday Singalong,2020,TV-G,45 min,"Family, Music, Variety",A festive musical event with more Disney melodies and classic holiday songs.,s350,,"Ryan Seacrest, Andrea Bocelli, BTS , Michael Bublé, Ciara , Chloe x Halle",United States,"Friday, December 4, 2020"
Movie,Folklore: the long pond studio sessions,2020,TV-14,107 min,"Documentary, Music",An intimate musical concert featuring Taylor Swift performing every song from “folklore.”,s357,,"Taylor Swift, Aaron Dessner, Jack Antonoff, Justin Vernon",United States,"Wednesday, November 25, 2020"
TV Show,Marvel's 616,2020,TV-14,1 Season,"Anthology, Docuseries",An anthology documentary series exploring the impact of the Marvel Comics Universe.,s359,,,United States,"Friday, November 20, 2020"
Movie,The Real Right Stuff,2020,TV-PG,90 min,"Documentary, Historical",The Real Right Stuff tells the story of the nation’s first astronauts.,s362,,,United States,"Friday, November 20, 2020"
TV Show,The Wonderful World of Mickey Mouse,2020,TV-G,1 Season,"Action-Adventure, Animation, Anthology",It's nothing but fun for Mickey and friends as they embark on their greatest adventures yet.,s363,,"Chris Diamantopoulos, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille",United States,"Wednesday, November 18, 2020"
TV Show,Inside Pixar,2020,TV-PG,1 Season,"Docuseries, Family","An inside look at the people, artistry, and culture of Pixar Animation Studios.",s368,,,United States,"Friday, November 13, 2020"
