type,title,release_year,rating,duration,listed_in,description,show_id,director,cast,country,date_added
TV Show,Andi Mack,2016,TV-G,3 Seasons,"Comedy, Coming of Age, Drama","Andi's life is shaken by her sister, Bex's, surprise.",s729,,"Peyton Lee, Joshua Rush, Sofia Wylie, Asher Angel, Lilan Bowden, Lauren Tom",United States,"Tuesday, November 12, 2019"
TV Show,Best Friends Whenever,2015,TV-G,2 Seasons,"Buddy, Comedy, Coming of Age",Best friends gain the ability to travel through time!,s749,,"Lauren Taylor, Shelby Bender, Gus Kamp, Ricky Garcia, Benjamin Royer, Matthew Royer",United States,"Tuesday, November 12, 2019"
TV Show,Boy Meets World,1993,TV-PG,7 Seasons,"Comedy, Coming of Age, Family","Adolescent Cory Matthews grows up, and faces problems with friends, family, and school.",s760,,"Ben Savage, William Daniels, Betsy Randle, Will Friedle, Rider Strong, Lee Norris",United States,"Tuesday, November 12, 2019"
TV Show,Bug Juice: My Adventures at Camp,2017,TV-G,1 Season,"Coming of Age, Docuseries, Family",Camp Waziyatah opens its doors for a fun summer.,s768,,,United States,"Tuesday, November 12, 2019"
TV Show,Crash & Bernstein,2012,TV-Y7,2 Seasons,"Comedy, Fantasy, Kids","The only boy in a family, Wyatt creates a puppet brother.",s803,,"Cole Jensen, Tim Lagasse, Landry Bender, Oana Gregory, Aaron Landon",United States,"Tuesday, November 12, 2019"
TV Show,Darkwing Duck,1991,TV-Y7,2 Seasons,"Action-Adventure, Animation, Kids","Darkwing Duck tells the adventures of the superhero, aided by his sidekick Launchpad McQuack.",s806,,"Jim Cummings, Christine Cavanaugh, Terry McGovern, Frank Welker",United States,"Tuesday, November 12, 2019"
Movie,Decorating Disney: Holiday Magic,2017,TV-PG,42 min,"Documentary, Family, Reality",Disney Parks become the Merriest Places on Earth.,s810,,"Whoopi Goldberg, Sofia Carson, Jordan Fisher",United States,"Tuesday, November 12, 2019"
TV Show,Disney Bizaardvark,2015,TV-PG,3 Seasons,"Buddy, Comedy, Family",Paige and Frankie produce an online comedy channel.,s818,,"Madison Hu, Olivia Rodrigo, Jake Paul, DeVore Ledridge, Ethan Wacker",United States,"Tuesday, November 12, 2019"
TV Show,Disney Descendants Wicked World (Shorts),2015,TV-G,2 Seasons,"Animation, Coming of Age, Fantasy",Descendants continues with new animated shorts!,s821,,,United States,"Tuesday, November 12, 2019"
TV Show,Disney Family Sundays,2019,TV-G,1 Season,"Anthology, Family, Lifestyle",Amber Kemp-Gerstel shares her love of crafting in a series of Disney-themed DIY projects.,s824,,,United States,"Tuesday, November 12, 2019"
TV Show,Disney Fast Layne,2018,TV-G,1 Season,"Action-Adventure, Animation, Comedy",Twelve-year-old Layne Reed discovers a talking car.,s825,,"Sophie Pollono, Sofia Rosinsky, Brandon Rossel, Winslow Fegley",United States,"Tuesday, November 12, 2019"
TV Show,Disney Gravity Falls,2011,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",Dipper and Mabel spend the summer with Grunkle Stan.,s827,,"Kristen Schaal, Jason Morgan, Alex Hirsch",United States,"Tuesday, November 12, 2019"
TV Show,Disney Jake and the Never Land Pirates,2010,TV-Y,4 Seasons,"Action-Adventure, Animation, Fantasy",Jake sails for a treasure hunt against Captain Hook.,s829,,"Madison Pettis, Colin Ford, Jonathan Heit, David Arquette, Corey Burton",United States,"Tuesday, November 12, 2019"
TV Show,Disney JONAS,2008,TV-G,2 Seasons,"Comedy, Family, Kids","JONAS is the hottest rock band on the planet! Band members Nick, Kevin, and Joe are superstar idols.",s830,,"Kevin Jonas, Joe Jonas, Nick Jonas, Chelsea Staub, Nicole Anderson, John Ducey",United States,"Tuesday, November 12, 2019"
TV Show,Disney K.C. Undercover,2014,TV-Y7,3 Seasons,"Action-Adventure, Comedy, Kids",K.C. joins her spy family as its newest secret agent.,s832,,"Zendaya , Veronica Dunne, Kamil McFadden, Tammy Townsend, Kadeem Hardison",United States,"Tuesday, November 12, 2019"
TV Show,Disney Lab Rats: Elite Force,2015,TV-Y7,1 Season,"Action-Adventure, Comedy, Coming of Age",The Lab Rats join forces with the Mighty Med team.,s833,,"William Brent, Bradley Perry, Jake Short, Paris Berelc, Kelli Berglund",United States,"Tuesday, November 12, 2019"
TV Show,Disney Legend of the Three Caballeros,2017,TV-G,1 Season,"Action-Adventure, Animation, Comedy","Donald, Jose and Panchito inherit a magical atlas and travel the world battling mythical monsters.",s834,,"Tony Anselmo, Jaime Camil, Eric Bauza, Grey Griffin, Wayne Knight, Kevin Richardson",United States,"Tuesday, November 12, 2019"
TV Show,Disney Mickey Mouse Clubhouse,2005,TV-Y,5 Seasons,"Animation, Kids",Mickey leads kids on an interactive adventure of learning.,s835,,"Wayne Allwine, Jim Cummings, Russi Taylor, Tony Anselmo, Bill Farmer, Tress MacNeille",United States,"Tuesday, November 12, 2019"
TV Show,Disney Milo Murphy's Law,2016,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy","Around Milo, anything that can go wrong, will.",s836,,"Al Yankovic, Sabrina Carpenter, Mekai Curtis",United States,"Tuesday, November 12, 2019"
TV Show,Disney Minnie's Bow-Toons (Shorts),2011,TV-Y,3 Seasons,"Animation, Kids",Minnie Mouse teams up with Daisy to open up Minnie’s Bow-tique.,s837,,,United States,"Tuesday, November 12, 2019"
TV Show,Disney Stuck In The Middle,2015,TV-PG,3 Seasons,"Comedy, Coming of Age, Family",Harley is stuck in the middle of a family with 7 kids!,s838,,"Jenna Ortega, Ronni Hawk, Isaak Presley, Ariana Greenblatt, Kayla Maisonet, Nicolas Bechtel",United States,"Tuesday, November 12, 2019"
TV Show,Disney Take Two With Phineas And Ferb (Shorts),2010,TV-G,1 Season,"Animation, Kids, Parody",Real-life celebrities are interviewed by Phineas and Ferb.,s839,,,United States,"Tuesday, November 12, 2019"
TV Show,Disney's Adventures Of The Gummi Bears,1985,TV-Y7,6 Seasons,"Action-Adventure, Animation, Fantasy",The magical Gummi Bears discover their rich history.,s842,,"Bill Scott, Christian Jacobs, Brett Johnson, David Faustino, Paul Winchell, Jason Marsden",United States,"Tuesday, November 12, 2019"
TV Show,Disney's Doug,1996,TV-Y7,3 Seasons,"Animation, Comedy, Coming of Age","Doug uses his imagination to navigate through tests of friendship, love, school, and growing up.",s843,,"Connie Shulman, Doug Preis, Alice Playten, Chris Phillips, Fred Newman, Thomas McHugh",United States,"Tuesday, November 12, 2019"
TV Show,Disney's Hercules: The Animated Series,1998,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Follow Herc's many labors during the years he spent training on how to be a hero.,s846,,"Tate Donovan, Sandra Bernhard, Robert Costanzo, Matt Frewer, Bobcat Goldthwait, French Stewart",United States,"Tuesday, November 12, 2019"
TV Show,Disney's Little Einsteins,2005,TV-Y,2 Seasons,"Action-Adventure, Animation, Kids",This innovative new series provides preschoolers with new ways to hear and see music and art.,s848,,"Erica Huang, Aiden Pompey, Jesse Schwartz, Natalia Wojcik",United States,"Tuesday, November 12, 2019"
TV Show,Disney's Mighty Ducks,1996,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Hockey-loving alien ducks are stranded on Earth and must protect it from the evil Dragaunus.,s849,,"James Belushi, Brad Garrett, Jeff Bennett, Jennifer Hale, Clancy Brown, Tony Jay",United States,"Tuesday, November 12, 2019"
TV Show,Disney's Recess,1997,TV-Y7,3 Seasons,"Animation, Comedy, Kids",A portrayal of life at Third Street Elementary School.,s850,,"Rickey Collins, Jason Davis, Ashley Johnson, Ross Malinger, Courtland Mead, Pamela Segall",United States,"Tuesday, November 12, 2019"
TV Show,Disney's The Emperor's New School,2005,TV-G,2 Seasons,"Animation, Comedy, Coming of Age","Disney's The Emperor's New School is a unique comedy about Kuzco, a self-centered and spoiled teen.",s851,,"Shane Baumel, Jessica DiCicco, Wendie Malick, Fred Tatasciore, Jeff Bennett, Jessie Flower",United States,"Tuesday, November 12, 2019"
TV Show,Disney's The Little Mermaid (Series),1992,TV-Y7,3 Seasons,"Action-Adventure, Animation, Fantasy","Follow Ariel's adventures as a mermaid living under the sea with her father, King Triton.",s853,,"Jodi Benson, Samuel Wright, Ken Mars, Edan Gross",United States,"Tuesday, November 12, 2019"
TV Show,Dog Whisperer with Cesar Millan,2004,TV-G,6 Seasons,"Animals & Nature, Docuseries, Family",World-renowned dog expert Cesar Millan helps dogs and their owners overcome behavior issues.,s862,,Cesar Millan,United States,"Tuesday, November 12, 2019"
TV Show,"Dr. T, Lone Star Vet",2019,TV-PG,1 Season,"Docuseries, Family, Medical","Dr. T, Lone Star Vet follows Dr. T as she faces the most compelling cases of her career.",s868,,Dr. Lauren Thielen,United States,"Tuesday, November 12, 2019"
TV Show,Encore!,2019,TV-14,1 Season,"Music, Reality",Kristen Bell reunites former high school classmates to re-stage musicals they performed in the past.,s880,,"Kristen Bell, Roger Love, Susan Egan, Ali Stroker, Stephen Schwartz",United States,"Tuesday, November 12, 2019"
TV Show,Even Stevens,2000,TV-PG,3 Seasons,"Comedy, Coming of Age, Kids","Louis, a seventh-grade misfit, struggles to fit in at school and in his seemingly perfect family.",s882,,"Shia LaBeouf, Christy Romano, Nick Spano, Tom Virtue, Donna Pescow",United States,"Tuesday, November 12, 2019"
TV Show,Fantastic Four (Series),1994,TV-Y7,1 Season,"Action-Adventure, Animation, Kids","Reed Richards, Sue and Johnny Storm and pilot Ben Grimm are transformed into the Fantastic Four.",s886,,"Beau Weaver, Lori Alan, Chuck McCann, Brian Green, Stan Lee, Pauline Lomas",United States,"Tuesday, November 12, 2019"
TV Show,Fantastic Four: World's Greatest Heroes,2007,TV-Y7,1 Season,"Action-Adventure, Animation, Kids","Watch Mr. Fantastic, Invisible Woman, Human Torch, and Thing as they battle their greatest foes.",s887,,"Christopher Jacot, Hiro Kanagawa, Lara Gilchrist, Brian Dobson",United States,"Tuesday, November 12, 2019"
TV Show,Gargoyles,1994,TV-Y7,3 Seasons,"Action-Adventure, Animation, Fantasy","In Scotland, 994 A.D. Goliath and his clan of gargoyles defend a medieval castle.",s908,,"Thom Hernandez, Edward Asner, Jeff Bennett, Keith David, Bill Fagerbakke, Jonathan Frakes",United States,"Tuesday, November 12, 2019"
TV Show,Girl Meets World,2013,TV-G,3 Seasons,"Comedy, Coming of Age, Family",Riley and Maya traverse the twists of teenage years.,s915,,"Rowan Blanchard, Ben Savage, Sabrina Carpenter, Peyton Meyer, August Maturo, Danielle Fishel",United States,"Tuesday, November 12, 2019"
TV Show,Good Luck Charlie,2009,TV-G,4 Seasons,"Comedy, Coming of Age, Family",The Duncans are a typical family whose lives are turned topsy-turvy with the arrival of Charlie,s918,,"Bridgit Mendler, Leigh-Allyn Baker, Bradley Perry, Mia Talerico, Eric Kramer, Jason Dolley",United States,"Tuesday, November 12, 2019"
TV Show,Goof Troop,1992,TV-Y7,1 Season,"Animation, Comedy, Kids","Goofy is a single father raising his son, Max in Spoonerville.",s920,,"Nancy Cartwright, Jim Cummings, Dana Hill, Rob Paulson, Corey Burton, Bill Farmer",United States,"Tuesday, November 12, 2019"
TV Show,Great Migrations,2010,TV-PG,1 Season,"Animals & Nature, Docuseries, Survival",An intimate and unprecedented view of animal migrations across the globe.,s924,,Alec Baldwin,United States,"Tuesday, November 12, 2019"
TV Show,Hannah Montana,2005,TV-G,4 Seasons,"Comedy, Coming of Age, Kids",Hannah Montana is a live-action comedy series that follows typical tween Miley Stewart.,s931,,"Miley Cyrus, Emily Osment, Mitchel Musso, Jason Earles, Billy Cyrus",United States,"Tuesday, November 12, 2019"
TV Show,High School Musical: The Musical: The Series,2019,TV-PG,2 Seasons,"Comedy, Coming of Age, Drama","For the first time ever, East High Wildcats put on a production of High School Musical: The Musical!",s944,,"Olivia Rodrigo, Joshua Bassett, Matt Cornett, Sofia Wylie, Larry Saperstein",United States,"Tuesday, November 12, 2019"
TV Show,Hostile Planet,2019,TV-PG,1 Season,"Animals & Nature, Docuseries, Survival",Hostile Planet reveals the animal kingdom’s epic stories of survival in extreme environments.,s951,,Bear Grylls,United States,"Tuesday, November 12, 2019"
Movie,How Dogs Got Their Shapes,2016,TV-PG,44 min,"Animals & Nature, Documentary, Family",Canines are one of the most diverse species on Earth – how did they get that way?,s953,,Jake Robards,United States,"Tuesday, November 12, 2019"
TV Show,Hulk and the Agents of S.M.A.S.H.,2012,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",Hulk and friends battle against evil.,s957,,"Fred Tatasciore, Clancy Brown, Seth Green, Eliza Dushku, Ben Diskin",United States,"Tuesday, November 12, 2019"
TV Show,Iron Man (Series),1994,TV-Y7,1 Season,"Action-Adventure, Animation, Kids",Industrialist Tony Stark leads a private team of superheroes as Iron Man against the forces of evil.,s969,,"Robert Hays, James Avery, Ed Gilbert, Jim Cummings, Tony Steedman, James Warwick",United States,"Tuesday, November 12, 2019"
TV Show,Jessie,2011,TV-PG,4 Seasons,"Comedy, Coming of Age, Family","A small-town girl becomes a nanny for a quirky, rich family.",s976,,"Debby Ryan, Peyton List, Cameron Boyce, Karan Brar, Skai Jackson, Kevin Chamberlin",United States,"Tuesday, November 12, 2019"
Movie,Journey to Shark Eden,2010,TV-G,47 min,"Action-Adventure, Animals & Nature, Documentary",A team of scientists explores pristine coral reefs around five remote islands near Tahiti.,s981,,Salvatore Vecchio,United States,"Tuesday, November 12, 2019"
TV Show,Kickin' It,2010,TV-PG,4 Seasons,"Action-Adventure, Comedy, Coming of Age",The series will follow the crew of lovable misfits.,s988,,"Leo Howard, Dylan Snyder, Mateo Arias, Olivia Holt, Alex Jones, Jason Earles",United States,"Tuesday, November 12, 2019"
Movie,Kingdom of the Blue Whale,2009,TV-PG,94 min,"Animals & Nature, Documentary, Family",Marine scientists embark on a mission to uncover the mysteries of the blue whale.,s992,,Tom Selleck,United States,"Tuesday, November 12, 2019"
TV Show,Kingdom of the White Wolf,2019,TV-PG,1 Season,"Action-Adventure, Animals & Nature, Docuseries","In the remote, majestic landcape of the high Arctic, a photographer seeks the legendary white wolf.",s993,,Jenny Jules,United States,"Tuesday, November 12, 2019"
TV Show,Lab Rats,2011,TV-Y7,4 Seasons,"Action-Adventure, Comedy, Coming of Age",Leo discovers a secret underground lab with three experiments.,s998,,"Billy Unger, Spencer Boldman, Kelli Berglund, Tyrel Williams, Hal Sparks",United States,"Tuesday, November 12, 2019"
TV Show,LEGO Disney Frozen: Northern Lights (Shorts),2016,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Anna and Elsa search for the missing Northern Lights.,s1001,,,United States,"Tuesday, November 12, 2019"
TV Show,LEGO Star Wars: All Stars,2018,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy","Han, Chewie, Leia and more team up for new adventures!",s1002,,"Jasmin Brown, Josh Peck, Zeno Robinson, Max Mittelman, Matthew Wood",United States,"Tuesday, November 12, 2019"
TV Show,LEGO Star Wars: Droid Tales,2014,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",C-3PO recounts the great adventures of the Rebels.,s1004,,"Tom Kane, Anthony Daniels, Trevor Devall, Kirby Morrow, Sam Vincent, Michael Donovan",United States,"Tuesday, November 12, 2019"
TV Show,LEGO Star Wars: The Freemaker Adventures,2015,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",12-year old Rowan Freemaker discovers the Kyber Saber.,s1006,,"Matt Sloan, Trevor Devall, Greg Baldwin, Michael Daingerfield, Vanessa Lengies, Grey Griffin",United States,"Tuesday, November 12, 2019"
TV Show,Lizzie McGuire,2000,TV-G,2 Seasons,"Comedy, Coming of Age, Kids","Lizzie McGuire has great friends, a great family and even great foes. Get inside her head.",s1023,,"Hilary Duff, Lalaine , Adam Lamberg, Jake Thomas, Hallie Todd, Robert Carradine",United States,"Tuesday, November 12, 2019"
Movie,Luxo Jr.,1986,G,2 min,"Animation, Comedy, Family",A baby lamp finds a ball to play with.,s1028,,,United States,"Tuesday, November 12, 2019"
Movie,Man Among Cheetahs,2017,TV-PG,44 min,"Animals & Nature, Documentary, Family",A wildlife filmmaker tries to keep up with a cheetah mom determined to keep her cubs alive.,s1031,,Bob Poole,United States,"Tuesday, November 12, 2019"
TV Show,Marvel Rising: Initiation (Shorts),2017,TV-Y7,1 Season,"Action-Adventure, Animation, Kids",Ghost-Spider is falsely accused of her friend's death.,s1034,,,United States,"Tuesday, November 12, 2019"
Movie,Marvel Studios: Assembling A Universe,2014,TV-PG,43 min,"Action-Adventure, Documentary, Superhero",An exclusive look inside the world of Marvel Studios.,s1036,,"Jeff McNeil, Meghan Leon, Jason Hillhouse, Robert Downey Jr., Clark Gregg, Jon Favreau",United States,"Tuesday, November 12, 2019"
TV Show,Marvel Ultimate Spider-Man,2011,TV-Y7,4 Seasons,"Action-Adventure, Animation, Fantasy",Spider-Man trains alongside four fellow teenage superheroes.,s1054,,"Drake Bell, Chi McBride, Steven Weber, J.K. Simmons, Tom Kenny, Clark Gregg",United States,"Tuesday, November 12, 2019"
TV Show,Marvel's Agent Carter,2014,TV-14,2 Seasons,"Action-Adventure, Science Fiction, Spy/Espionage","Working for SSR, Peggy would rather be in the field.",s1055,,"Hayley Atwell, James D'Arcy, Chad Murray, Enver Gjokaj, Shea Whigham",United States,"Tuesday, November 12, 2019"
TV Show,Marvel's Ant-Man (Shorts),2016,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Ant-Man protects the world one inch at a time!,s1056,,,United States,"Tuesday, November 12, 2019"
TV Show,Marvel's Avengers Assemble,2012,TV-Y7,5 Seasons,"Action-Adventure, Animation, Kids",Marvel’s mightiest heroes combine their power.,s1057,,"Adrian Pasdar, Fred Tatasciore, Roger Smith, Travis Willingham, Troy Baker, Bumper Robinson",United States,"Tuesday, November 12, 2019"
TV Show,Marvel's Guardians of the Galaxy (Series),2015,TV-Y7,3 Seasons,"Action-Adventure, Animation, Kids",The Guardians find a map leading to a powerful weapon.,s1059,,"Will Friedle, Trevor Devall, Kevin Richardson, Vanessa Marshall, David Sobolov",United States,"Tuesday, November 12, 2019"
TV Show,Marvel's Hero Project,2019,TV-PG,1 Season,"Docuseries, Family","Celebrate the inspiring efforts of young, real life heroes as they join Marvel’s Hero Project.",s1061,,,United States,"Tuesday, November 12, 2019"
TV Show,Marvel's Inhumans,2017,TV-14,1 Season,"Action-Adventure, Science Fiction, Superhero",The never-before-told adventure of the Royal Family.,s1062,,"Anson Mount, Serinda Swan, Ken Leung, Eme Ikwuakor, Isabelle Cornish, Ellen Woglom",United States,"Tuesday, November 12, 2019"
TV Show,Mickey Mouse (Shorts),2012,TV-G,5 Seasons,"Animation, Kids","All-new series of cartoon shorts, Mickey Mouse finds himself in silly situations around the world!",s1071,,,United States,"Tuesday, November 12, 2019"
TV Show,Mickey Mouse Club (1955-59),1955,TV-PG,1 Season,"Family, Variety",The Mickey Mouse Club is a variety show featuring the Mouseketeers. See details for advisory.,s1072,,,United States,"Tuesday, November 12, 2019"
Movie,Miracle Landing on the Hudson,2014,TV-G,44 min,"Action-Adventure, Documentary","The true story of the terrifying, ultimately triumphant landing of Flight 1549 in the Hudson River.",s1087,,"Todd Boyce, Miriam Lucia, James McGregor, Nathan Nolan, Phillip Wright",United States,"Tuesday, November 12, 2019"
TV Show,Muppet Moments (Shorts),2014,TV-Y7,1 Season,"Anthology, Comedy, Kids",Join the Muppets as they share unforgettable moments.,s1098,,,United States,"Tuesday, November 12, 2019"
TV Show,My Friends Tigger & Pooh,2006,TV-Y,2 Seasons,"Animation, Kids","Pooh, Tigger, and friends from the Hundred Acre Wood welcome new neighbors",s1102,,Jim Cummings,United States,"Tuesday, November 12, 2019"
TV Show,Origins: The Journey of Humankind,2016,TV-14,1 Season,"Docuseries, Historical","Hosted by Jason Silva, this eight-part series illuminates key developments in human culture.",s1115,,"Mark Monroe, Jason Silva",United States,"Tuesday, November 12, 2019"
TV Show,Out of the Box,1998,TV-G,3 Seasons,Kids,A group of children come and play in a clubhouse made entirely out of painted cardboard boxes.,s1116,,"Vivian Bayubay, Tony James, Jill Schackner, Aleisha Allen, Cece Cortes, Nicholas Eng",United States,"Tuesday, November 12, 2019"
TV Show,Phil of the Future,2003,TV-G,2 Seasons,"Comedy, Coming of Age, Kids",Phil is just your average teenager – whose family crash-landed here from the year 2121.,s1125,,"Ricky Ullman, Amy Bruckner, Craig Anton, Lise Simms, Alyson Michalka",United States,"Tuesday, November 12, 2019"
TV Show,Pixar In Real Life,2019,TV-G,1 Season,"Anthology, Comedy, Family",Characters and moments from Pixar films are brought to life to the surprise of real people.,s1135,,,United States,"Tuesday, November 12, 2019"
TV Show,Quack Pack,1996,TV-Y,1 Season,"Action-Adventure, Animation, Comedy","This cartoon follows on from the 1980's cartoon ""DuckTales"".",s1150,,"Tony Anselmo, James Avery, Brian Cummings, E.G. Daily, Jeannie Elias, Pamela Segall",United States,"Tuesday, November 12, 2019"
TV Show,Rocky Mountain Animal Rescue,2018,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",Officers and vets in the Pike's Peak area of Colorado handle thousands of animal emergencies a year.,s1170,,Chopper Bernet,United States,"Tuesday, November 12, 2019"
TV Show,Shake It Up,2010,TV-G,3 Seasons,"Buddy, Comedy, Coming of Age",Best friends attend high school and dance professionally.,s1188,,"Bella Thorne, Zendaya , Davis Cleveland, Roshon Fegan, Adam Irigoyen, Kenton Duty",United States,"Tuesday, November 12, 2019"
Movie,Sharks of Lost Island,2013,TV-PG,45 min,"Action-Adventure, Animals & Nature, Documentary",A team of explorers sets out to explore the sea and land of the remote Pitcairn Islands.,s1189,,Chris McLinden,United States,"Tuesday, November 12, 2019"
TV Show,Spider-Man and His Amazing Friends,1982,TV-Y7,1 Season,"Action-Adventure, Animation, Kids",Spider-Man battles crime in New York City with the help of Iceman and Firestar.,s1206,,"Hans Conried, Jerry Dexter, George DiCenzo, Alan Dinehart, Walker Edminston, Michael Evans",United States,"Tuesday, November 12, 2019"
TV Show,Spider-Woman,1979,TV-Y7,1 Season,"Action-Adventure, Animation, Kids",Jessica Drew has superhuman powers. She uses them as Spider-Woman.,s1208,,"Joan Ark, Bruce Miller, Bryan Scott, Lou Krugman, Dick Tufeld",United States,"Tuesday, November 12, 2019"
TV Show,Star Wars Forces of Destiny (Shorts),2016,TV-Y7,2 Seasons,"Action-Adventure, Animation, Anthology",Untold stories from the heroines of Star Wars.,s1209,,"Ashley Eckstein, Matt Lanter, C1-10P a.k.a. ""Chopper"" , John Boyega, Vanessa Marshall, Felicity Jones",United States,"Tuesday, November 12, 2019"
TV Show,Star Wars Rebels,2014,TV-Y7,4 Seasons,"Action-Adventure, Animation, Kids",The Ghost crew provides a spark to ignite a rebellion.,s1210,,"Taylor Gray, Vanessa Marshall, Freddie Prinze Jr., Tiya Sircar, Steve Blum, C1-10P a.k.a. ""Chopper""",United States,"Tuesday, November 12, 2019"
TV Show,Star Wars: Blips,2019,TV-Y7-FV,1 Season,Series,What does a curious little droid do when he's not on a daring mission to save the galaxy?,s1214,,,United States,"Tuesday, November 12, 2019"
TV Show,TaleSpin,1990,TV-G,1 Season,"Action-Adventure, Animation, Kids","Follow Baloo, his 12-year old navigator Kit, the boss Rebecca Cunningham, and the rest of the crew.",s1229,,"Charlie Adler, Jim Cummings, Ed Gilbert, Chuck McCann, Alan Roberts, Sally Struthers",United States,"Tuesday, November 12, 2019"
TV Show,The Adventures of Spin and Marty,1955,TV-G,1 Season,"Buddy, Coming of Age, Family",Spin and Marty have adventures during the summer at Triple R Ranch. See details for advisory.,s1245,,"David Stollery, Tim Considine",United States,"Tuesday, November 12, 2019"
TV Show,The Avengers: Earth's Mightiest Heroes,2010,TV-Y7,2 Seasons,"Action-Adventure, Animation, Kids",Chaos sweeps over the planet as the Super Villain prison system breaks down.,s1251,,"Eric Loomis, Bumper Robinson, Dawn Olivera, Phil LaMarr, Alex Desert, Kari Wuhrer",United States,"Tuesday, November 12, 2019"
TV Show,The Book of Pooh,2000,TV-Y,2 Seasons,"Comedy, Kids",Pooh and Friends discover Christopher Robin’s storybook filled with endearing tales about them!,s1261,,"Jim Cummings, Paul Tiesler, Jeff Bennett, Peter Cullen, Stephanie d’Abruzzo, John Fiedler",United States,"Tuesday, November 12, 2019"
TV Show,The Imagineering Story,2019,TV-PG,1 Season,"Docuseries, Historical",Creating happiness takes a strong blend of imagination and engineering - known as Imagineering.,s1289,,,United States,"Tuesday, November 12, 2019"
TV Show,The Muppets (Series),2015,TV-PG,1 Season,Comedy,"""The Muppets"" return with a documentary-style show.",s1312,,"Bill Barretta, Dave Goelz, Eric Jacobson, Peter Linz, David Rudman, Matt Vogel",United States,"Tuesday, November 12, 2019"
TV Show,The New Adventures of Winnie the Pooh,1988,TV-Y,4 Seasons,"Animation, Kids",The stories of Winnie the Pooh and friends.,s1313,,"Jim Cummings, Paul Winchell, John Fiedler, Ken Sansome, Tim Hoskins, Patty Paris",United States,"Tuesday, November 12, 2019"
TV Show,The Replacements,2006,TV-G,1 Season,"Animation, Comedy, Family","Riley and Todd, can replace any adult in their life by making a simple call to the Fleemco company.",s1327,,"Nancy Cartwright, Grey DeLisle, Kath Soucie, Daran Norris, David McCallum, Jeff Bennett",United States,"Tuesday, November 12, 2019"
TV Show,The Suite Life of Zack & Cody,2004,TV-G,3 Seasons,"Action-Adventure, Comedy, Coming of Age",Twin brothers Zack and Cody get to live with their single mom in Boston's swankiest hotel.,s1344,,"Cole Sprouse, Dylan Sprouse, Brenda Song, Ashley Tisdale, Phill Lewis, Kim Rhodes",United States,"Tuesday, November 12, 2019"
TV Show,The Suite Life On Deck,2008,TV-G,3 Seasons,"Action-Adventure, Comedy, Coming of Age","Zack and Cody Martin are aboard the SS Tipton, a luxury passenger cruise liner.",s1345,,"Cole Sprouse, Dylan Sprouse, Brenda Song, Debby Ryan, Phill Lewis",United States,"Tuesday, November 12, 2019"
TV Show,The World According to Jeff Goldblum,2019,TV-PG,2 Seasons,Docuseries,Jeff Goldblum explores the fascinating science and history of deceptively familiar objects.,s1359,,Jeff Goldblum,United States,"Tuesday, November 12, 2019"
TV Show,Timon & Pumbaa,1995,TV-Y,3 Seasons,"Animation, Buddy, Comedy","Timon, a meerkat, and Pumbaa, a warthog, join together for misadventures in the jungle.",s1370,,"Quinton Flynn, Ernie Sabella, Jim Cummings, Nathan Lane",United States,"Tuesday, November 12, 2019"
TV Show,Wizards of Waverly Place,2007,TV-G,4 Seasons,"Comedy, Coming of Age, Fantasy","Alex, Justin, and Max Russo are not your ordinary teenagers – they’re secretly wizards in training!",s1413,,"Selena Gomez, David Henrie, Jake Austin, Jennifer Stone, Maria Canals-Barrera, David DeLuise",United States,"Tuesday, November 12, 2019"
TV Show,Wolverine and The X-Men,2008,TV-Y7,1 Season,"Action-Adventure, Animation, Kids",Wolverine and the X-Men must join together to prevent a catastrophic future.,s1415,,"Steve Blum, Chris Edgerly, Jennifer Hale, Michael Ironside, Danielle Judovits, AJ Buckley",United States,"Tuesday, November 12, 2019"
Movie,World's Greatest Dogs,2015,TV-PG,44 min,"Animals & Nature, Documentary, Family","From acrobatics to crazy stunts, this special celebrates amazing dogs and their owners.",s1416,,Mike Secher,United States,"Tuesday, November 12, 2019"
TV Show,X-Men: Evolution,2000,TV-Y7,4 Seasons,"Action-Adventure, Animation, Kids",X-Men: Evolution features the team as teenagers as they fight for a world that fears and hates them.,s1418,,"Noel Fisher, Vincent Gale, Christopher Judge, David Kaye, Scott McNeil, Meghan Black",United States,"Tuesday, November 12, 2019"
Movie,10 Things I Hate About You,1999,PG-13,98 min,"Comedy, Coming of Age, Romance","Cameron falls for the girl of his dreams, but she is forbidden to date.",s708,Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan",United States,"Tuesday, November 12, 2019"
